,count,unique,top,freq,mean,std,min,25%,50%,75%,max
chrom,285,1,chr1,285,,,,,,,
start,285.0,,,,206586753.59298247,1314.851936699923,206583090.0,206586303.0,206586989.0,206587276.0,206590033.0
end,285.0,,,,206586754.59298247,1314.851936699923,206583091.0,206586304.0,206586990.0,206587277.0,206590034.0
name,285,1,.,285,,,,,,,
score,285.0,,,,3.52575921305604,9.486892357606477,-0.3457037712732926,0.1125093943459774,0.8381052034030745,3.0614377249038114,88.41913648418125
strand,285,2,-,143,,,,,,,
samplea_counts,285,67,m:3,36,,,,,,,
samplea_total,285.0,,,,94.85964912280701,25.50782715864534,2.0,81.0,93.0,116.0,137.0
sampleb_counts,285,68,m:0,64,,,,,,,
sampleb_total,285.0,,,,86.79649122807018,19.59252125311135,1.0,81.0,90.0,99.0,113.0
samplea_percents,285,221,m:0.00,27,,,,,,,
sampleb_percents,285,164,m:0.00,64,,,,,,,
samplea_fraction_modified,285.0,,,,0.2036573392736842,0.3113836878669597,0.0,0.022727273,0.046875,0.18085106,0.99236643
sampleb_fraction_modified,285.0,,,,0.2510402856122807,0.3757796599019052,0.0,0.00952381,0.021978023,0.3030303,1.0
map_pvalue,285.0,,,,0.6904896580810708,0.44051609534447017,0.0,0.1002438659768706,1.0,1.0,1.0
effect_size,285.0,,,,-0.04719319585683375,0.16139961895282692,-1.0,-0.0745098039215686,0.0025510204081632,0.03,0.2061855670103092
cohen_h,285.0,,,,-0.08089973513912754,0.4901526587491665,-3.141592653589793,-0.2755924513581893,0.0277919511372169,0.2272950276279088,0.942671080164426
cohen_h_low,285.0,,,,0.02568906211714462,0.32068551991994565,-0.6741790581979321,-0.148085892047655,-0.0525476277750135,0.1212500417303298,1.8158740799126285
cohen_h_high,285.0,,,,0.6600845538226481,0.46557635494010524,0.2666154176166497,0.4370614787115819,0.5471481287695805,0.7376197684051539,5.542048491767448
